timestamp,username,source_ip,location,device,login_success,attack_type,hour,day_of_week,date,is_night_login
2026-03-01 00:19:00,guest,192.168.1.27,UK,Shared-Kiosk,0,normal,0,6,2026-03-01,1
2026-03-01 00:35:00,admin,10.0.0.12,UK,Admin-Workstation,1,normal,0,6,2026-03-01,1
2026-03-01 01:08:00,bob,192.168.1.30,UK,Desktop-PC,1,normal,1,6,2026-03-01,1
2026-03-01 01:16:00,guest,192.168.1.66,UK,Shared-Kiosk,1,normal,1,6,2026-03-01,1
2026-03-01 03:11:00,bob,192.168.1.59,UK,Desktop-PC,1,normal,3,6,2026-03-01,1
2026-03-01 03:25:00,guest,192.168.1.20,UK,Shared-Kiosk,1,normal,3,6,2026-03-01,1
2026-03-01 05:22:00,guest,192.168.1.79,UK,Shared-Kiosk,1,normal,5,6,2026-03-01,1
2026-03-01 06:11:00,alice,192.168.1.19,UK,Windows-Laptop,1,normal,6,6,2026-03-01,0
2026-03-01 06:22:00,charlie,192.168.1.74,DE,MacBook,1,normal,6,6,2026-03-01,0
2026-03-01 06:36:00,alice,192.168.1.67,UK,Windows-Laptop,1,normal,6,6,2026-03-01,0
2026-03-01 06:42:00,charlie,192.168.1.67,DE,MacBook,1,normal,6,6,2026-03-01,0
2026-03-01 06:50:00,bob,192.168.1.46,UK,Desktop-PC,1,normal,6,6,2026-03-01,0
2026-03-01 07:05:00,admin,10.0.0.22,UK,Admin-Workstation,1,normal,7,6,2026-03-01,0
2026-03-01 07:14:00,guest,192.168.1.34,UK,Shared-Kiosk,1,normal,7,6,2026-03-01,0
2026-03-01 07:16:00,charlie,192.168.1.43,DE,MacBook,1,normal,7,6,2026-03-01,0
2026-03-01 07:25:00,admin,10.0.0.40,UK,Admin-Workstation,1,normal,7,6,2026-03-01,0
2026-03-01 07:28:00,alice,192.168.1.20,UK,Windows-Laptop,1,normal,7,6,2026-03-01,0
2026-03-01 07:29:00,bob,192.168.1.25,UK,Desktop-PC,1,normal,7,6,2026-03-01,0
2026-03-01 07:37:00,admin,10.0.0.22,UK,Admin-Workstation,1,normal,7,6,2026-03-01,0
2026-03-01 07:37:00,bob,192.168.1.75,UK,Desktop-PC,1,normal,7,6,2026-03-01,0
2026-03-01 07:42:00,admin,10.0.0.53,UK,Admin-Workstation,1,normal,7,6,2026-03-01,0
2026-03-01 07:42:00,charlie,192.168.1.26,DE,MacBook,1,normal,7,6,2026-03-01,0
2026-03-01 08:02:00,admin,10.0.0.73,UK,Admin-Workstation,1,normal,8,6,2026-03-01,0
2026-03-01 08:05:00,alice,192.168.1.46,UK,Windows-Laptop,1,normal,8,6,2026-03-01,0
2026-03-01 08:07:00,alice,192.168.1.73,UK,Windows-Laptop,1,normal,8,6,2026-03-01,0
2026-03-01 08:10:00,guest,192.168.1.50,UK,Shared-Kiosk,1,normal,8,6,2026-03-01,0
2026-03-01 08:12:00,bob,192.168.1.29,UK,Desktop-PC,1,normal,8,6,2026-03-01,0
2026-03-01 08:14:00,guest,192.168.1.29,UK,Shared-Kiosk,1,normal,8,6,2026-03-01,0
2026-03-01 08:14:00,alice,192.168.1.47,UK,Windows-Laptop,1,normal,8,6,2026-03-01,0
2026-03-01 08:14:00,admin,10.0.0.60,UK,Admin-Workstation,1,normal,8,6,2026-03-01,0
2026-03-01 08:20:00,guest,192.168.1.38,UK,Shared-Kiosk,1,normal,8,6,2026-03-01,0
2026-03-01 08:37:00,charlie,192.168.1.52,DE,MacBook,1,normal,8,6,2026-03-01,0
2026-03-01 08:45:00,alice,192.168.1.24,UK,Windows-Laptop,1,normal,8,6,2026-03-01,0
2026-03-01 08:51:00,bob,192.168.1.16,UK,Desktop-PC,1,normal,8,6,2026-03-01,0
2026-03-01 09:04:00,admin,10.0.0.80,UK,Admin-Workstation,1,normal,9,6,2026-03-01,0
2026-03-01 09:09:00,guest,192.168.1.79,UK,Shared-Kiosk,0,normal,9,6,2026-03-01,0
2026-03-01 09:12:00,admin,10.0.0.60,UK,Admin-Workstation,1,normal,9,6,2026-03-01,0
2026-03-01 09:16:00,guest,192.168.1.37,UK,Shared-Kiosk,1,normal,9,6,2026-03-01,0
2026-03-01 09:34:00,alice,192.168.1.68,UK,Windows-Laptop,1,normal,9,6,2026-03-01,0
2026-03-01 09:41:00,guest,192.168.1.32,UK,Shared-Kiosk,1,normal,9,6,2026-03-01,0
2026-03-01 09:44:00,admin,10.0.0.30,UK,Admin-Workstation,1,normal,9,6,2026-03-01,0
2026-03-01 09:45:00,charlie,192.168.1.68,DE,MacBook,1,normal,9,6,2026-03-01,0
2026-03-01 09:50:00,bob,192.168.1.44,UK,Desktop-PC,1,normal,9,6,2026-03-01,0
2026-03-01 09:54:00,guest,192.168.1.21,UK,Shared-Kiosk,1,normal,9,6,2026-03-01,0
2026-03-01 09:55:00,alice,192.168.1.63,UK,Windows-Laptop,1,normal,9,6,2026-03-01,0
2026-03-01 09:59:00,guest,192.168.1.60,UK,Shared-Kiosk,1,normal,9,6,2026-03-01,0
2026-03-01 10:02:00,admin,10.0.0.29,UK,Admin-Workstation,1,normal,10,6,2026-03-01,0
2026-03-01 10:02:00,alice,192.168.1.21,UK,Windows-Laptop,1,normal,10,6,2026-03-01,0
2026-03-01 10:04:00,guest,192.168.1.67,UK,Shared-Kiosk,1,normal,10,6,2026-03-01,0
2026-03-01 10:08:00,guest,192.168.1.45,UK,Shared-Kiosk,1,normal,10,6,2026-03-01,0
2026-03-01 10:09:00,alice,192.168.1.45,UK,Windows-Laptop,1,normal,10,6,2026-03-01,0
2026-03-01 10:09:00,alice,192.168.1.23,UK,Windows-Laptop,1,normal,10,6,2026-03-01,0
2026-03-01 10:18:00,alice,192.168.1.21,UK,Windows-Laptop,1,normal,10,6,2026-03-01,0
2026-03-01 10:20:00,guest,192.168.1.30,UK,Shared-Kiosk,1,normal,10,6,2026-03-01,0
2026-03-01 10:24:00,admin,10.0.0.41,UK,Admin-Workstation,1,normal,10,6,2026-03-01,0
2026-03-01 10:24:00,alice,192.168.1.63,UK,Windows-Laptop,1,normal,10,6,2026-03-01,0
2026-03-01 10:36:00,admin,10.0.0.80,UK,Admin-Workstation,1,normal,10,6,2026-03-01,0
2026-03-01 10:38:00,alice,192.168.1.52,UK,Windows-Laptop,1,normal,10,6,2026-03-01,0
2026-03-01 10:50:00,bob,192.168.1.65,UK,Desktop-PC,1,normal,10,6,2026-03-01,0
2026-03-01 10:52:00,admin,10.0.0.65,UK,Admin-Workstation,1,normal,10,6,2026-03-01,0
2026-03-01 10:53:00,bob,192.168.1.27,UK,Desktop-PC,1,normal,10,6,2026-03-01,0
2026-03-01 10:54:00,guest,192.168.1.32,UK,Shared-Kiosk,1,normal,10,6,2026-03-01,0
2026-03-01 11:01:00,bob,192.168.1.74,UK,Desktop-PC,1,normal,11,6,2026-03-01,0
2026-03-01 11:02:00,guest,192.168.1.70,UK,Shared-Kiosk,1,normal,11,6,2026-03-01,0
2026-03-01 11:03:00,alice,192.168.1.35,UK,Windows-Laptop,1,normal,11,6,2026-03-01,0
2026-03-01 11:06:00,charlie,192.168.1.61,DE,MacBook,1,normal,11,6,2026-03-01,0
2026-03-01 11:09:00,admin,10.0.0.22,UK,Admin-Workstation,1,normal,11,6,2026-03-01,0
2026-03-01 11:11:00,alice,192.168.1.46,UK,Windows-Laptop,1,normal,11,6,2026-03-01,0
2026-03-01 11:15:00,guest,192.168.1.15,UK,Shared-Kiosk,1,normal,11,6,2026-03-01,0
2026-03-01 11:19:00,guest,192.168.1.38,UK,Shared-Kiosk,1,normal,11,6,2026-03-01,0
2026-03-01 11:20:00,charlie,192.168.1.68,DE,MacBook,1,normal,11,6,2026-03-01,0
2026-03-01 11:21:00,alice,192.168.1.23,UK,Windows-Laptop,1,normal,11,6,2026-03-01,0
2026-03-01 11:21:00,bob,192.168.1.63,UK,Desktop-PC,1,normal,11,6,2026-03-01,0
2026-03-01 11:22:00,alice,192.168.1.43,UK,Windows-Laptop,1,normal,11,6,2026-03-01,0
2026-03-01 11:25:00,guest,192.168.1.22,UK,Shared-Kiosk,1,normal,11,6,2026-03-01,0
2026-03-01 11:26:00,bob,192.168.1.36,UK,Desktop-PC,1,normal,11,6,2026-03-01,0
2026-03-01 11:27:00,admin,10.0.0.37,UK,Admin-Workstation,1,normal,11,6,2026-03-01,0
2026-03-01 11:29:00,bob,192.168.1.59,UK,Desktop-PC,1,normal,11,6,2026-03-01,0
2026-03-01 11:29:00,alice,192.168.1.56,UK,Windows-Laptop,1,normal,11,6,2026-03-01,0
2026-03-01 11:38:00,bob,192.168.1.51,UK,Desktop-PC,1,normal,11,6,2026-03-01,0
2026-03-01 11:43:00,bob,192.168.1.28,UK,Desktop-PC,1,normal,11,6,2026-03-01,0
2026-03-01 11:43:00,admin,10.0.0.66,UK,Admin-Workstation,1,normal,11,6,2026-03-01,0
2026-03-01 11:45:00,guest,192.168.1.51,UK,Shared-Kiosk,1,normal,11,6,2026-03-01,0
2026-03-01 11:57:00,charlie,192.168.1.16,DE,MacBook,1,normal,11,6,2026-03-01,0
2026-03-01 12:12:00,guest,192.168.1.62,UK,Shared-Kiosk,1,normal,12,6,2026-03-01,0
2026-03-01 12:17:00,bob,192.168.1.33,UK,Desktop-PC,1,normal,12,6,2026-03-01,0
2026-03-01 12:19:00,admin,10.0.0.44,UK,Admin-Workstation,1,normal,12,6,2026-03-01,0
2026-03-01 12:20:00,charlie,192.168.1.37,DE,MacBook,1,normal,12,6,2026-03-01,0
2026-03-01 12:20:00,guest,192.168.1.24,UK,Shared-Kiosk,1,normal,12,6,2026-03-01,0
2026-03-01 12:21:00,guest,192.168.1.75,UK,Shared-Kiosk,0,normal,12,6,2026-03-01,0
2026-03-01 12:27:00,bob,192.168.1.52,UK,Desktop-PC,1,normal,12,6,2026-03-01,0
2026-03-01 12:28:00,charlie,192.168.1.79,DE,MacBook,1,normal,12,6,2026-03-01,0
2026-03-01 12:40:00,guest,192.168.1.19,UK,Shared-Kiosk,1,normal,12,6,2026-03-01,0
2026-03-01 12:47:00,charlie,192.168.1.33,DE,MacBook,1,normal,12,6,2026-03-01,0
2026-03-01 12:51:00,bob,192.168.1.25,UK,Desktop-PC,1,normal,12,6,2026-03-01,0
2026-03-01 12:56:00,guest,192.168.1.48,UK,Shared-Kiosk,1,normal,12,6,2026-03-01,0
2026-03-01 13:00:00,alice,192.168.1.15,UK,Windows-Laptop,1,normal,13,6,2026-03-01,0
2026-03-01 13:00:00,bob,192.168.1.31,UK,Desktop-PC,1,normal,13,6,2026-03-01,0
2026-03-01 13:02:00,guest,192.168.1.37,UK,Shared-Kiosk,1,normal,13,6,2026-03-01,0
2026-03-01 13:14:00,admin,10.0.0.12,UK,Admin-Workstation,1,normal,13,6,2026-03-01,0
2026-03-01 13:22:00,alice,192.168.1.50,UK,Windows-Laptop,1,normal,13,6,2026-03-01,0
2026-03-01 13:29:00,admin,10.0.0.28,UK,Admin-Workstation,1,normal,13,6,2026-03-01,0
